Postcode,Description,Latitude,Longitude
HP2 7BF,HP2 7BF,51.764796,-0.43465279
N13 4EH,N13 4EH,51.627066,-0.10118734
RH3 7LT,RH3 7LT,51.235795,-0.27971513
BS48 3SD,BS48 3SD,51.408716,-2.6767874
HD3 4AL,HD3 4AL,53.65194,-1.814901
SN4 8NB,SN4 8NB,51.542842,-1.8835127
BT33 0HH,BT33 0HH,,
SM4 6BL,SM4 6BL,51.387071,-0.18335976
CM2 9XE,CM2 9XE,51.722473,0.45757756
SY3 5HF,SY3 5HF,52.709557,-2.8053746
SY1 1JW,SY1 1JW,52.706123,-2.7576539
CM20 1QR,CM20 1QR,51.772,0.090334288
WF13 1HF,WF13 1HF,53.692447,-1.6311349
UB7 9FJ,UB7 9FJ,51.505173,-0.46209512
BN3 2PD,BN3 2PD,50.826474,-0.17077345
GU21 4NA,GU21 4NA,51.319907,-0.56727569
RH11 7EY,RH11 7EY,51.118183,-0.20117073
NW3 3AG,NW3 3AG,51.541494,-0.15986849
SA1 4AP,SA1 4AP,51.618241,-3.9522009
KT16 8HY,KT16 8HY,51.388844,-0.49845091
TW2 6SW,TW2 6SW,51.4467,-0.34038728
E13 0AQ,E13 0AQ,51.531185,0.019102517
M27 0WL,M27 0WL,53.509962,-2.3425943
KY12 7AT,KY12 7AT,56.071589,-3.4613156
LL11 5HN,LL11 5HN,53.104559,-3.0809164
DN31 2LP,DN31 2LP,53.564607,-0.09223096
EX5 1AY,EX5 1AY,50.669437,-3.4124037
SK5 6DA,SK5 6DA,53.436337,-2.1658857
PA16 8AA,PA16 8AA,55.953627,-4.7650301
WF1 5JY,WF1 5JY,53.672262,-1.487543
SL9 8BL,SL9 8BL,51.580749,-0.54289468
BN3 2DJ,BN3 2DJ,50.82845,-0.1774696
TR11 5NW,TR11 5NW,50.181475,-5.0776758
TR11 5NW,TR11 5NW,50.181475,-5.0776758
SA2 9AE,SA2 9AE,51.617617,-3.9877385
SO41 3NQ,SO41 3NQ,50.754473,-1.5443844
TR27 4JP,TR27 4JP,50.192634,-5.4047868
SO41 9AH,SO41 9AH,50.757575,-1.5442409
FY4 5GP,FY4 5GP,,
LA3 3JJ,LA3 3JJ,54.029915,-2.892922
LL18 5LU,LL18 5LU,53.309828,-3.5210315
BN21 2AH,BN21 2AH,50.77173,0.27907792
BN7 1RS,BN7 1RS,50.873189,-0.000982207
BN13 2QG,BN13 2QG,50.828643,-0.41154581
IP18 6RW,IP18 6RW,52.332798,1.6560658
RG2 0TD,RG2 0TD,51.419764,-0.9744214
NP16 5EW,NP16 5EW,51.642586,-2.6736605
NE8 1SR,NE8 1SR,54.953622,-1.6072084
GL53 7AS,GL53 7AS,51.88848,-2.0698718
S80 3JL,S80 3JL,53.323682,-1.2179015
TN17 4AY,TN17 4AY,51.078462,0.57984292
OX29 5SX,OX29 5SX,51.723189,-1.3909614
EC2A 4NE,EC2A 4NE,51.525615,-0.083628296
KT1 1BQ,KT1 1BQ,51.409108,-0.30555691
CM20 1YS,CM20 1YS,51.770843,0.092165122
HA8 8XT,HA8 8XT,51.63039,-0.27092629
KT15 2HJ,KT15 2HJ,51.371865,-0.48021434
KT15 2HJ,KT15 2HJ,51.371865,-0.48021434
SW1Y 4QX,SW1Y 4QX,51.508926,-0.13274875
B36 0UH,B36 0UH,52.50303,-1.7554968
CA13 9LQ,CA13 9LQ,54.663939,-3.363492
TQ2 6HP,TQ2 6HP,50.462831,-3.5467402
N12 0DR,N12 0DR,51.610924,-0.17833654
L18 6JD,L18 6JD,53.381475,-2.9103387
CM23 3BG,CM23 3BG,51.867277,0.16033222
WS10 7TR,WS10 7TR,52.562304,-2.0354491
CV6 4PX,CV6 4PX,52.451853,-1.5144427
E16 2LA,E16 2LA,51.501088,0.057813244
RM9 6LX,RM9 6LX,51.53716,0.14405693
HP13 7HN,HP13 7HN,51.627606,-0.7113398
SW15 2BF,SW15 2BF,,
CF39 9LU,CF39 9LU,51.609495,-3.3997145
RG21 4HG,RG21 4HG,51.268162,-1.0740947
KT15 2SN,KT15 2SN,51.369832,-0.47459257
TW14 8PJ,TW14 8PJ,51.450516,-0.43881863
OX49 5ND,OX49 5ND,51.652311,-1.0297487
W6 0LH,W6 0LH,51.494334,-0.22678239
DN4 9JQ,DN4 9JQ,53.499164,-1.1703555
EC1V 2NX,EC1V 2NX,51.527269,-0.089123626
BH1 1JU,BH1 1JU,50.722386,-1.8704952
W2 4RL,W2 4RL,51.51077,-0.18902119
E14 5AA,E14 5AA,51.504954,-0.019450417
SE9 1TD,SE9 1TD,51.450918,0.053642165
EC1V 2NX,EC1V 2NX,51.527269,-0.089123626
HP11 2QW,HP11 2QW,51.631897,-0.76337802
RG14 6AU,RG14 6AU,51.395782,-1.3378516
SO30 3JQ,SO30 3JQ,50.929991,-1.3253598
NW6 6SL,NW6 6SL,51.533612,-0.21608641
W1J 8AJ,W1J 8AJ,51.507217,-0.14290572
W2 6DG,W2 6DG,51.515091,-0.18286865
DA11 8PL,DA11 8PL,51.423404,0.34971985
W1W 5PL,W1W 5PL,51.521999,-0.1439477
OL12 6EE,OL12 6EE,53.637416,-2.1718019
PE30 1ET,PE30 1ET,52.754442,0.39333834
EX1 1NS,EX1 1NS,50.722493,-3.5261332
OL2 8AL,OL2 8AL,53.580159,-2.0920033
BS16 5RH,BS16 5RH,51.485721,-2.4992725
GL1 4LD,GL1 4LD,51.854637,-2.2319978
BL6 4GF,BL6 4GF,53.585937,-2.5144483
WS14 9DZ,WS14 9DZ,52.679093,-1.8251429
SW18 1TX,SW18 1TX,51.464714,-0.18400671
WV1 4SB,WV1 4SB,52.586381,-2.1408679
TF7 5AT,TF7 5AT,52.637453,-2.445408
W1G 9RJ,W1G 9RJ,51.516926,-0.14788693
WN5 9DQ,WN5 9DQ,53.536193,-2.6658434
RH2 9AJ,RH2 9AJ,51.238908,-0.21556224
W3 7AL,W3 7AL,51.513797,-0.25519666
CB1 3HU,CB1 3HU,52.200593,0.16121357
AB32 6JG,AB32 6JG,57.153177,-2.3060007
BT48 7EG,BT48 7EG,,
SE1 5JF,SE1 5JF,51.487415,-0.071561065
SE15 5HE,SE15 5HE,51.472465,-0.066388673
W11 1QT,W11 1QT,51.51637,-0.2111247
PR6 0EJ,PR6 0EJ,53.655461,-2.6172306
CO4 9AS,CO4 9AS,51.91627,0.92536143
CO7 6BL,CO7 6BL,51.952194,1.0146391
CO4 0LB,CO4 0LB,51.903164,0.93340739
CO4 5AN,CO4 5AN,51.922638,0.91845925
IP17 1AG,IP17 1AG,52.215426,1.4919492
CO2 8JY,CO2 8JY,51.882506,0.92903885
IP1 3LG,IP1 3LG,52.059636,1.1505766
OL10 4NL,OL10 4NL,53.593708,-2.2199865
E11 2AA,E11 2AA,51.579691,0.024311779
HD9 6DY,HD9 6DY,53.599341,-1.7933565
SW17 0DH,SW17 0DH,51.43122,-0.1818537
N1 2RY,N1 2RY,51.537499,-0.10217769
SS6 7BS,SS6 7BS,51.584263,0.60167395
NR32 5EX,NR32 5EX,52.508641,1.7384258
KT5 8LP,KT5 8LP,51.394736,-0.28318943
DA14 4DT,DA14 4DT,51.427285,0.10331953
NG32 1PU,NG32 1PU,52.855323,-0.76306917
ST6 3JW,ST6 3JW,53.04252,-2.1944812
FY3 0BB,FY3 0BB,53.821125,-2.9973477
SW15 2BF,SW15 2BF,,
LL17 0JA,LL17 0JA,53.253888,-3.4794125
SM5 2ST,SM5 2ST,51.376496,-0.17064522
WA15 9AE,WA15 9AE,53.378379,-2.3458959
CM24 8LY,CM24 8LY,51.902756,0.20038323
CM2 8HF,CM2 8HF,51.709135,0.50320531
BT17 0PH,BT17 0PH,,
BA2 2PB,BA2 2PB,51.361685,-2.3782655
PR6 7QL,PR6 7QL,53.681275,-2.636079
G3 7JT,G3 7JT,55.866278,-4.2777128
BH4 9DN,BH4 9DN,50.722335,-1.9006981
S33 6RL,S33 6RL,53.348128,-1.7578891
DG10 9HJ,DG10 9HJ,55.333739,-3.4442306
HA8 0BP,HA8 0BP,51.598006,-0.26405639
LS8 5QL,LS8 5QL,53.811523,-1.5196831
BD13 1QL,BD13 1QL,53.769482,-1.8370665
L5 9UB,L5 9UB,53.425686,-2.9944012
SW1Y 4QX,SW1Y 4QX,51.508926,-0.13274875
SW15 2BW,SW15 2BW,51.458192,-0.2136881
SN6 6HE,SN6 6HE,51.629581,-1.8823377
TN13 1LZ,TN13 1LZ,51.270678,0.19455124
TS7 0BS,TS7 0BS,54.528891,-1.1754701
CW11 1JL,CW11 1JL,53.14693,-2.3653824
PL14 6AF,PL14 6AF,50.454973,-4.4654609
BL3 1AT,BL3 1AT,53.56965,-2.390823
BN6 8QL,BN6 8QL,50.922221,-0.13180542
EC3M 5JD,EC3M 5JD,51.512881,-0.078657364
PR9 0NP,PR9 0NP,53.649602,-3.0022507
CF5 6AL,CF5 6AL,51.448342,-3.2643131
NG10 5JP,NG10 5JP,52.91732,-1.2887451
BA5 1LW,BA5 1LW,51.204175,-2.7030705
EC4R 1BE,EC4R 1BE,51.510182,-0.092865075
NULL,NULL,,
ME16 0ZJ,ME16 0ZJ,51.270491,0.48294264
LE2 3JN,LE2 3JN,52.606656,-1.1012262
S9 3DG,S9 3DG,53.386107,-1.4173724
TQ2 7EW,TQ2 7EW,50.479309,-3.5493219
WS12 4UD,WS12 4UD,52.711001,-2.0420387
DL2 2TE,DL2 2TE,54.48109,-1.5589942
OX29 4TB,OX29 4TB,51.779919,-1.3746592
WS13 7FE,WS13 7FE,52.687346,-1.8384983
SL1 4PG,SL1 4PG,51.521121,-0.62472294
SP4 7RT,SP4 7RT,51.17638,-1.7650891
ME18 6AS,ME18 6AS,51.21038,0.43619335
NG12 2NR,NG12 2NR,52.943079,-1.0071263
EN9 2EU,EN9 2EU,51.734303,0.002596111
PO36 0DT,PO36 0DT,50.679617,-1.1432005
BA21 5LW,BA21 5LW,50.949484,-2.6193585
WC1H 8BU,WC1H 8BU,51.52765,-0.12439965
BT48 0RA,BT48 0RA,,
TR13 8TD,TR13 8TD,50.102333,-5.2749815
BB11 1EZ,BB11 1EZ,53.788504,-2.2449266
M41 5BG,M41 5BG,53.448224,-2.3627851
HU2 0DU,HU2 0DU,53.751008,-0.34048135
HA1 1BQ,HA1 1BQ,51.580228,-0.33917907
IG2 7EY,IG2 7EY,51.573746,0.095065361
ST14 8UG,ST14 8UG,52.892933,-1.8649221
SK13 8QQ,SK13 8QQ,53.443844,-1.9399359
TN30 7DE,TN30 7DE,51.062632,0.71481462
SS9 3UD,SS9 3UD,51.555125,0.63105717
HP9 1AW,HP9 1AW,51.608602,-0.63691268
BT7 3JH,BT7 3JH,,
SW15 2BF,SW15 2BF,,
M1 4HT,M1 4HT,53.477961,-2.2405864
PO30 1JW,PO30 1JW,50.699632,-1.2914572
BL5 3AJ,BL5 3AJ,53.548238,-2.5230764
GL1 5AA,GL1 5AA,51.857567,-2.2498436
BB3 1AE,BB3 1AE,53.691313,-2.4644718
GU34 4BY,GU34 4BY,51.184704,-0.98293654
NG7 2JW,NG7 2JW,52.939656,-1.1820762
HP1 3HR,HP1 3HR,51.764282,-0.48185436
N13 6DU,N13 6DU,51.6106,-0.10113794
MK10 7JH,MK10 7JH,,
TR15 3RS,TR15 3RS,50.225701,-5.2646131
HD4 5XE,HD4 5XE,53.633962,-1.8388888
GU5 0NF,GU5 0NF,51.175546,-0.5779344
BT23 5EN,BT23 5EN,,
LU6 3FD,LU6 3FD,51.875306,-0.50949646
DE73 7GJ,DE73 7GJ,52.840309,-1.4559066
AB15 4YL,AB15 4YL,57.142138,-2.1296801
AB15 4YL,AB15 4YL,57.142138,-2.1296801
CR5 3FW,CR5 3FW,,
L19 0NQ,L19 0NQ,53.359541,-2.909255
HP5 1SD,HP5 1SD,51.698471,-0.60968762
E13 8AL,E13 8AL,51.523559,0.024834132
CB23 7PL,CB23 7PL,52.210094,0.062961597
DE23 4EE,DE23 4EE,52.90576,-1.5226335
DA1 4PS,DA1 4PS,51.460206,0.19034436
LS26 0QD,LS26 0QD,53.748397,-1.4803244
NW9 6RS,NW9 6RS,51.588208,-0.25155339
BS8 2HL,BS8 2HL,51.462498,-2.6141318
OX18 1GZ,OX18 1GZ,51.771769,-1.5876254
RG1 2QE,RG1 2QE,51.448727,-0.96729703
EX16 4AL,EX16 4AL,50.902092,-3.4696506
BS8 2HL,BS8 2HL,51.462498,-2.6141318
CV31 1RD,CV31 1RD,52.279401,-1.5140128
E14 9FW,E14 9FW,51.499866,-0.012106797
SE5 0ED,SE5 0ED,51.478506,-0.09484914
BB1 6NY,BB1 6NY,53.758627,-2.4755742
EN11 9PG,EN11 9PG,51.778566,-0.00180861
WD17 1HP,WD17 1HP,51.65979,-0.39744414
DA1 5TT,DA1 5TT,,
WN7 3XZ,WN7 3XZ,53.482451,-2.5021945
DA3 7EW,DA3 7EW,51.393234,0.30753461
M40 7EH,M40 7EH,53.49335,-2.226264
WS13 6QW,WS13 6QW,52.67496,-1.8331605
DA7 4QP,DA7 4QP,51.463778,0.13320083
CH65 9HQ,CH65 9HQ,53.260029,-2.8930807
RG23 8AW,RG23 8AW,51.271637,-1.1141486
B11 1SA,B11 1SA,52.462647,-1.8768522
W1T 3BL,W1T 3BL,51.518161,-0.13842476
BT9 6AL,BT9 6AL,,
B71 1EE,B71 1EE,52.526638,-1.9943701
HR4 9HS,HR4 9HS,52.059513,-2.7160166
W1G 0RN,W1G 0RN,51.516014,-0.14592054
TS26 8NE,TS26 8NE,54.688468,-1.2320412
WA3 5EB,WA3 5EB,53.447679,-2.5136638
TN13 1YL,TN13 1YL,51.272332,0.19366944
NW5 2UT,NW5 2UT,51.551384,-0.13754482
IP14 5HG,IP14 5HG,52.213387,1.0766067
TN2 4SY,TN2 4SY,51.131059,0.27302767
LE65 1AB,LE65 1AB,52.747744,-1.4680817
EC1M 6AW,EC1M 6AW,51.52041,-0.10088461
KT4 7AY,KT4 7AY,51.372014,-0.24567852
NR14 8AA,NR14 8AA,52.559273,1.2327646
NE3 1UA,NE3 1UA,55.009527,-1.6192496
NR2 1JT,NR2 1JT,52.629847,1.2969429
BT9 6SA,BT9 6SA,,
SW15 2BF,SW15 2BF,,
RH10 6PG,RH10 6PG,51.102543,-0.16983933
CR8 5LT,CR8 5LT,51.322623,-0.10906593
N16 9HH,N16 9HH,51.559751,-0.086391822
DY8 4HT,DY8 4HT,52.462788,-2.1406342
PO16 0EF,PO16 0EF,50.852805,-1.1840146
S11 8AL,S11 8AL,53.367712,-1.4786844
CA1 2RW,CA1 2RW,54.89254,-2.8934464
B78 2NN,B78 2NN,52.560853,-1.6799594
IV27 4LT,IV27 4LT,58.153827,-5.2467829
PR8 5AB,PR8 5AB,53.640138,-3.0031758
CR0 4GA,CR0 4GA,51.365018,-0.11481894
PR3 0QB,PR3 0QB,53.867486,-2.737673
EX4 4EP,EX4 4EP,50.726935,-3.5282471
EX37 9JA,EX37 9JA,50.991667,-3.9996705
YO17 9RD,YO17 9RD,54.132048,-0.79731467
NE2 1HN,NE2 1HN,54.986926,-1.5912093
CT6 7QD,CT6 7QD,51.35844,1.1078979
SM4 5RP,SM4 5RP,51.397239,-0.19011596
WC1N 3AX,WC1N 3AX,51.520592,-0.12219598
BT7 1NZ,BT7 1NZ,,
CW7 2GH,CW7 2GH,53.197438,-2.5386429
L31 4DZ,L31 4DZ,53.531795,-2.956317
EH14 7JB,EH14 7JB,55.87098,-3.3627692
EC4A 4AB,EC4A 4AB,51.515704,-0.1040206
CM12 0UR,CM12 0UR,51.639337,0.41574618
N22 8PT,N22 8PT,51.602779,-0.11804187
N12 0TD,N12 0TD,51.609677,-0.16121431
DY11 6ND,DY11 6ND,52.379305,-2.2627558
TA21 9PE,TA21 9PE,50.958334,-3.2042047
B20 3DN,B20 3DN,52.513979,-1.8955409
B77 3QL,B77 3QL,52.636804,-1.6656044
HA3 8DP,HA3 8DP,51.587541,-0.30230465
WA8 7SP,WA8 7SP,53.361464,-2.7316061
RG19 3XP,RG19 3XP,51.39556,-1.2587427
TS1 3QW,TS1 3QW,54.570257,-1.2383941
DE55 7DQ,DE55 7DQ,53.09676,-1.3916132
LS14 1AB,LS14 1AB,53.827163,-1.4606181
B92 7HP,B92 7HP,52.441027,-1.8097561
SW6 7EN,SW6 7EN,51.480682,-0.20071213
BS39 5XQ,BS39 5XQ,51.331077,-2.5998863
LE2 6QS,LE2 6QS,52.597127,-1.1375334
OL16 2UB,OL16 2UB,53.621173,-2.1299338
TN24 8DH,TN24 8DH,51.150602,0.88462057
CF24 5EA,CF24 5EA,51.479751,-3.1535059
G20 0XA,G20 0XA,55.905104,-4.3071234
PO18 8AY,PO18 8AY,50.843675,-0.81454095
RM13 9BP,RM13 9BP,51.505655,0.18027475
